MasterIndex,Patent,IssueDate,AppDate,OrigAppDate,ReissueOf,Renewal,Continuation,Division,Class,Subclass,OtherClasses,IPCCodes,Claims,NumInventors,FirstInventor,InvCity,InvState,InvCountry,Assignee,AssCity,AssState,AssCountry,NumRefs,NumUSRefs,NumUtilityRefs,NumDesignRefs,NumPlantRefs,NumReissueRefs,NumForReferences,OCPDate,MCPDate,USPQDocketNum,DJ,PatDef,DCPub,DCEdition,DCVolume,DCPage,DCNumPatents,DCDecision,DCState,District,CAFCEra,DistDate,Patentee,AllegInf,AllegInf2,ACPub,ACEdition,ACVolume,ACPage,ACNumPatents,FirstAC,ACDate,Affirmed,ACDecision,DC2ndDecDate,DC2ndCite,DC2ndDec,AC2ndDecDate,AC2ndCite,AC2ndDecision
6369,3806852,4/23/74,7/18/73,10/2/72,na,0,1,0,335,205,200/61.7,H01H 36/00; H01H 3/16; H01h 053/06,11,1,"Suska, Charles",Roxbury,CO,US,Stanley,New Britain,CO,US,2,2,2,0,0,0,0,6/15/72,2/15/73,No. 79-567,0,0,1,1,216,298,1,INV,DE,na,0,8/27/81,The Stanley Works,McKinney Mfg. Co.,none,0,F. 2d,681,809,1,3,4/2/82,1,affirmed,na,na,na,na,na,na
6370,3807110,4/30/74,11/8/72,11/8/72,na,0,0,0,52,219,285/4; 285/44; 52/100; 52/98,E04D 13/14; E04d 013/14; E04g 015/06,9,1,"Kaminski, Cyril",Broadview,IL,US,Pate Manufacturing Co,Broadview,IL,US,9,9,9,0,0,0,0,11/15/01,10/15/60,No. 74 C 3092,0,0,1,1,212,620,1,V&I,IL,ND,0,5/26/81,The Pate Co.,RPS Corp.,Raymond W. Resech,1,1,216,571,1,7,7/23/82,0,rev(INV),na,na,na,na,na,na
6371,3807409,4/30/74,8/31/72,8/31/72,na,0,0,0,604,264,623/10; D24/110,A61F 11/00; A61m 027/00,6,3,"Paparella, Michael",Minneapolis,MN,US,Medical Products Corporation,Skokie,IL,US,2,2,2,0,0,0,0,7/15/56,9/15/71,No. 86-100-CIV-J-14,0,0,1,2,8,1281,1,INV,FL,MD,1,7/21/88,Moxness Products Inc.,Xomed Inc.,none,1,2,13,1169,1,CAFC,12/6/89,0,R&R,na,na,na,na,na,na
6372,3810211,5/7/74,4/24/72,4/24/72,na,0,0,0,396,34,273/142R,G03B 17/48; G03D 9/00; G03D 9/02; G03B 17/52; G03b 017/50,13,2,"Wareheim, Richard",Carlisle,MA,US,Polaroid,Cambridge,MA,US,4,4,4,0,0,0,0,3/15/72,4/15/72,No. 76-1634-Z,0,0,1,1,228,305,10,V&I,MA,na,1,10/11/85,Polaroid Corp.,Eastman Kodak Co.,none,1,1,229,561,7,CAFC,4/25/86,1,affirmed,na,na,na,na,na,na
6373,3810220,5/7/74,10/24/72,10/24/72,na,0,0,0,396,33,396/387,G03B 17/48; G03B 17/52; G03b 017/52,8,1,"Paglia, Richard",Carlisle,MA,US,Polaroid,Cambridge,MA,US,1,1,1,0,0,0,0,11/15/66,11/15/66,No. 76-1634-Z,0,0,1,1,228,305,10,INV,MA,na,1,10/11/85,Polaroid Corp.,Eastman Kodak Co.,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
6374,3810482,5/14/74,11/14/72,11/14/72,na,0,0,0,135,147,135/904; 135/909; 403/217,E04H 15/34; E04H 15/48; A45f 001/16,12,1,"Beavers, Allan",Denver,CO,US,TA Pelsue Co,Englewood,CO,US,2,2,2,0,0,0,0,3/15/1873,12/15/70,No. 89-S-1645,0,0,1,2,25,1001,2,V&I,CO,na,1,12/30/91,T.A. Pelsue Co.,Grand Enterprises Inc.,"Allan E. Beavers, and Robert A. Fulcher",na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
6375,3810604,5/14/74,4/16/71,4/16/71,na,0,0,0,366,138,134/34; 366/101; 366/167.1,B61D 5/00; B01F 13/02; B01F 13/00; B08B 9/093; B08B 9/08; B60P 3/22; B01f 005/04,9,1,"Reiter, Jerome A.",Lancaster,TX,US,"Reiter Industries, Inc.",Dallas,TX,US,5,5,5,0,0,0,0,6/15/43,1/29/52,notcapt,1,1,0,nocite,nocite,nocite,1,INV,NM,na,0,unknown,"Reiter Ind., Inc.","Tanks, Inc.",none,1,1,195,230,1,10,12/8/76,1,affirmed,na,na,na,na,na,na
6376,3811437,5/21/74,10/26/71,10/26/71,na,0,0,0,128,864,181/256; 521/73,A61F 11/08; A61F 11/10; A61F 11/00; A61f 011/02,10,1,"Gardner, Jr., Ross",Stoughton,MA,US,Cabot Corporation,Cambridge,MA,US,6,5,5,0,0,0,1,11/11/41,9/13/55,78-3170,1,1,0,nocite,nocite,nocite,1,NINF,MA,na,1,unknown,Cabot Corp.,Specialty Composites,none,1,2,6,1601,1,CAFC,4/27/88,0,rev(V&I),na,na,na,na,na,na
6377,3812535,5/21/74,10/24/72,10/24/72,na,0,0,0,360,244.2,none,G11B 5/60; G11b 005/60,6,2,"Higgins, Ronald",San Jose,CA,US,Memorex Corp,Santa Clara,CA,US,5,5,5,0,0,0,0,9/15/62,3/15/67,No. C-74-2349,0,0,1,1,205,794,2,V&I,CA,ND,0,2/1/80,Memorex Corp.,Ampex Corp.,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
6378,3812933,5/28/74,4/20/71,4/20/71,na,0,0,0,185,37,446/462,F03G 1/00; A63H 29/00; A63H 29/04; F03g 001/00,38,1,"Darda, Helmut",Blumberg,na,DE,none,na,na,omitted,3,3,3,0,0,0,0,12/15/39,11/15/65,No. 83-353,0,0,1,1,229,103,2,V&I,FL,SD,1,1/13/86,"Darda Inc., USA (d/b/a Darda Toy Co.) and Helmut Darda",Majorette Toys (U.S.) Inc.,Majorette S.A. France,0,F. 2d,824,976,2,CAFC,3/30/87,0,rev(INV),na,na,na,na,na,na
6379,3814296,6/4/74,1/30/73,1/30/73,na,0,0,0,222,220,none,G01F 11/22; G01F 11/10; G01f 011/24,6,1,"Tschritter, Alfons",Mittelbuchen near Hanau,na,DT,Colortronic Reinhard & Co. KG,Bad Homburg,na,DT,3,3,3,0,0,0,0,6/20/05,4/3/28,notcapt,0,0,0,nocite,nocite,nocite,1,INV,MA,na,0,unknown,"Colortronic Reinhard & Co., K.G., and Colortronics, inc.","Plastic Controls, Inc.",none,1,1,213,801,1,1,12/4/81,1,affirmed,na,na,na,na,na,na
6380,3814590,6/4/74,7/9/70,1/16/68,na,0,0,1,428,544,148/437; 29/527.7; 413/1; 428/923,C22F 1/04; B21D 51/26,23,1,"Byland, Linton",Richmond,VA,US,Reynolds Metal Co,Richmond,VA,US,1,1,1,0,0,0,0,8/15/68,8/15/68,No. S 74-172,0,0,1,1,198,529,2,V&I,IN,ND,0,6/6/78,Reynolds Metals Co.,Aluminum Co. of America,National Can Co.,1,1,204,7,2,7,2/13/79,0,rev(INV),na,na,na,na,na,na
6381,3815080,6/4/74,4/12/73,4/12/73,na,0,0,0,439,236,315/57; 362/217; 362/221; 362/457; 362/84; 362/95; 439/620.02; 439/646,F21V 19/00; H01R 33/05; H01R 33/00; H01R 33/08; H01R 33/94; H01r 013/66,1,1,"Summa, Frank",Staten Island,NY,US,none,na,na,omitted,4,4,4,0,0,0,0,5/15/50,2/15/64,No. 85 Civ. 1766 (CSH),0,0,1,2,5,1891,1,NINF,NY,SD,1,7/31/87,Frank Summa,E.C.P. Energy Conservation Products Inc.,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
6382,3815586,6/11/74,12/4/72,12/4/72,na,0,0,0,606,237,none,A61G 5/12; A61G 5/00; A61F 5/01; A61G 5/10; A61f 005/00,9,1,"Kazik, Raymond A.",Milwaukee,WI,US,"Orthokinetics, Inc.",Waukesha,WI,US,2,2,2,0,0,0,0,4/9/1861,4/9/1861,notcapt,0,0,0,nocite,nocite,nocite,2,INV,OH,ND,1,8/9/85,Orthokinetics Inc.,Safety Travel Chairs Inc.,"Entron Inc., and individual defs.",1,2,1,1081,2,CAFC,12/5/86,0,rev(V&I),na,na,na,na,na,na
6383,3815598,6/11/74,1/19/72,1/19/72,na,0,0,0,604,176,none,A61M 31/00; A61m 003/00,7,2,"Vass, Alexander",New York,NY,US,none,na,na,omitted,10,9,9,0,0,0,1,5/15/1896,7/15/63,No. 78 C 251,0,0,1,1,204,1071,2,INV,NY,ED,0,6/26/79,Alexander and Clara Vass,Multi Med Ind. Inc.,Picker Corp.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
6384,3816092,6/11/74,3/16/61,2/13/58,na,0,1,1,504,339,none,A01N 37/22; C07C 233/02; C07C 233/00; A01n 009/20,12,2,"Wilson, Harold F.",Moorestown,NJ,US,Rohm & Haas Company,Philadelphia,PA,US,2,1,1,0,0,0,1,9/15/57,8/26/58,notcapt,0,0,0,nocite,nocite,nocite,1,V&I,LA,ED,1,3/30/83,Rohm and Haas Co.,Thompson-Hayward Chemical Co.,none,1,1,223,690,1,CAFC,10/3/84,0,~rev(INV),na,na,na,na,na,na
6385,3816964,6/18/74,11/14/69,11/14/69,na,0,0,0,49,127,none,E05D 15/06; E05d 015/26,3,1,"Catalano, Joseph",Chicago,IL,US,none,na,na,omitted,9,8,8,0,0,0,1,5/15/07,9/15/20,74 C 2559,0,0,1,1,185,456,1,INV,IL,ND,0,3/5/75,Joseph Catalano,Kawneer Co.,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
6386,3817039,6/18/74,11/4/70,11/4/70,na,0,0,0,405,263,405/267,E21F 15/00; E21C 41/00; E21F 15/08; E21f 015/08,8,2,"Stewart, John",Littleton,CO,US,Dow Chemcial,Casper,WY,US,4,4,4,0,0,0,0,6/15/55,8/15/69,notcapt,0,0,1,2,18,1657,1,V&I,na,USCC,1,6/8/90,The Dow Chemical Co.,The United States,none,1,2,56,1014,1,CAFC,9/6/00,0,V&R,na,na,na,na,na,na
6387,3817333,6/18/74,2/16/72,2/16/72,na,0,0,0,172,283,172/285; 172/646,A01B 15/14; A01B 15/00; A01B 69/08; A01b 069/00,9,1,"Kinzenbaw, Jon",Lodora,IA,US,Dietrich Manufacturing Inc.,Goodfield,IL,US,11,10,10,0,0,0,1,3/15/1857,8/15/51,Nos. 83-4036; and 83-4083 ,0,0,1,1,224,138,1,NINF,IL,CD,1,6/28/84,"DMI, Inc.",Deere & Co.,none,1,1,225,236,1,CAFC,3/4/85,0,R&R,unknown,unpub,INV,9/30/86,231-276,affirmed
6388,3817860,6/18/74,11/21/72,11/2/70,na,0,1,0,210,753,210/501; 210/679; 210/764; 422/37; 424/667; 424/672; 424/723; 424/78.1,C02F 1/76; C02F 5/10; C11D 3/37; B01J 41/04; B01J 41/00; C11D 3/36,5,2,"Lambert, Jack",Manhattan,KS,US,The Kansas State U. Research Foundation,Manhattan,KS,US,4,4,4,0,0,0,0,4/15/67,4/15/69,No. 82 C 4330  ,0,0,1,2,1,1178,4,V&I,IL,ND,1,10/22/86,"Water Technologies Corp., Water Pollution Control Systems Inc., and Kansas St. Univ. Research Foundation",Calco Ltd.,William J. Gartner,1,2,7,1097,4,CAFC,6/16/88,1,affirmed,na,na,na,na,na,na
6389,3819768,6/25/74,2/11/72,2/11/72,na,0,0,0,473,385,260/998.14; 525/201; 525/221,A63B 37/00; C08L 23/00; C08L 23/02,8,1,"Molitor, Robert",S. Hadley,MA,US,Questor Corp,S. Hadley,MA,US,3,3,3,0,0,0,0,8/15/66,4/15/69,No. 81-0088-H  ,0,0,1,2,13,1081,1,V&I,MA,na,1,8/9/89,Spalding & Evenflo Co. Inc.,Acushnet Co.,none,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
6390,3819921,6/25/74,12/21/72,5/29/67,na,0,1,0,708,190,708/173,G06F 15/02; G06f 007/38,59,3,"Kilby, Jack S.",Dallas,TX,US,Texas Instruments Incorporated,Dallas,TX,US,10,10,10,0,0,0,0,4/12/60,10/8/68,notcapt,0,0,0,nocite,nocite,nocite,1,NINF,na,ITC,1,7//1985,Texas Instruments,none named,none,1,1,231,833,1,CAFC,11/19/86,1,affirmed,na,na,na,na,na,na
6391,3821763,6/28/74,11/27/72,6/21/71,na,0,1,0,396,20,359/740; 396/8,G02B 13/00; G03B 41/00; G03B 37/02; G03B 37/00; G03B 41/02,8,1,"Scott, Roderic M.",Stamford,CT,US,The Perkin-Elmer Corporation,Norwalk,CT,US,2,2,2,0,0,0,0,12/7/65,3/15/66,notcapt,0,0,0,nocite,nocite,nocite,2,NINF,CA,ND,0,unknown,The Perkin-Elmer Corp.,Computervision Corp.,none,1,1,216,760,2,9,7/2/82,0,rev(V&I),unknown,unpub,V&I,4/6/84,221-669,affirmed
6392,3822089,7/2/74,10/7/71,10/24/63,na,0,1,0,351,160R,264/2.1; 264/2.3; 264/2.6; 526/216; 526/328.5,G02B 1/04; G02c 007/04,16,1,"Wichterle, Otto",Prague,na,CZ,Ceskoslovenska Akademic Ved,Praha,na,CZ,12,12,12,0,0,0,0,3/15/61,2/15/70,No. CV 77-802,0,0,1,1,214,86,3,V&I,CA,CD,0,2/5/82,"National Patent Development Corp. and NPD Technologies, Inc.","Continuous Curve Contact Lenses, Inc.","Soft Lenses, Inc.",na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
6393,3825172,7/23/74,4/23/73,8/9/71,na,0,0,1,5,686,229/5.5; 383/105; 5/932,A47C 27/08; B29C 65/00; B29C 65/04; B65D 3/00; B65D 3/10; B65d 003/10; B65d 005/12; B65d 005/16,3,1,"Mollura, Carlos A.",Fullerton,CA,US,none,na,na,omitted,3,3,3,0,0,0,0,2/28/1882,4/16/46,notcapt,0,0,0,nocite,nocite,nocite,1,INV,CA,CD,0,unknown,Carlos A. Mollura,Curtis and Craig Miller,National Watermattress Corp.,1,1,204,434,1,9,12/6/79,1,affirmed,na,na,na,na,na,na
6394,3825461,7/23/74,1/29/73,1/29/73,na,0,0,0,156,502,156/506; 242/532.1,G11B 23/113,18,1,"Gorman, Robert",Hudson,MA,US,King Instruments Corp.,Hudson,MA,US,3,3,3,0,0,0,0,6/15/71,6/15/73,No. 84-3227-H ,0,0,1,2,16,1994,3,V&I,MA,na,1,6/18/90,King Instrument Corp.,Luciana Perego,Tapematic SrL,1,2,36,1129,3,CAFC,9/19/95,1,affirmed,na,na,na,na,na,na
6395,3825960,7/30/74,1/18/73,1/18/73,na,0,0,0,5,247,5/260,A47C 23/04; A47C 23/00; A47c 023/04; A47c 025/00,35,3,"Inman, Harold W.",Birmingham,MI,US,"Lear Siegler, Inc.",Detroit,MI,US,3,3,3,0,0,0,0,5/3/66,4/13/71,notcapt,0,0,0,nocite,nocite,nocite,2,V&I,MI,ED,1,8/21/87,Lear Siegler Inc.,Sealy Mattress Co. of Mich. Inc.,Hoover Universal Inc. and Hoover Groop Inc.,1,2,10,1767,2,CAFC,5/8/89,0,rev(NINF),na,na,na,na,na,na
6396,3826792,7/30/74,3/17/71,11/15/54,na,0,1,0,526,159,526/164; 526/169; 526/169.2; 526/348.6; 526/351; 526/352; 526/906,C08F 10/00; C08F 110/00; C08F 110/02; F02B 3/06; F02B 3/00,32,4,"Ziegler, Karl",Mulheim,na,DE,Maria Ziegler,Mulheim,na,DE,6,6,6,0,0,0,0,5/15/40,12/15/63,No. B-74-392 CA ,0,0,1,1,197,164,4,INV,TX,ED,0,9/21/77,Studiengesellschaft Kohle mbH,Eastman Kodak Co.,none,1,1,206,577,2,5,5/15/80,0,rev(NINF),na,na,na,na,na,na
6397,3828535,8/13/74,2/7/73,11/14/69,na,0,0,1,56,344,none,A01D 85/00; A01D 90/08; A01D 90/00; A01D 89/00; A01d 089/00,16,1,"Lundahl, Ezra",Providence,UT,US,Hesston Corp,Hesston,KS,US,6,4,4,0,0,0,2,7/15/1894,1/15/69,No. C 299-73,1,1,1,1,196,238,8,INV,UT,na,0,5/4/77,Hesston Corp,Deere & Co.,none,1,1,201,444,8,10,3/9/79,1,affirmed,na,na,na,na,na,na
6398,3830385,8/20/74,3/17/72,11/3/70,na,0,0,1,414,536,104/45; 104/47; 105/455; 280/29,B60P 1/00; B61D 3/00; B61D 3/20; B62D 53/00; B60P 1/52; B62D 13/04; B62D 13/00; B60p 001/52,8,1,"Young, Richard",Frankenmuth,MI,US,Saginaw Products,Saginaw,MI,US,5,5,5,0,0,0,0,2/15/1897,6/15/66,No. 40355,0,0,1,1,195,551,3,V&I,MI,ED,0,3/30/77,Saginaw Products Corp.,Eastern Airlines Inc.,none,1,1,205,105,2,6,2/8/80,1,affirmed,na,na,na,na,na,na
6399,3832857,9/3/74,8/14/73,5/7/73,na,0,1,0,405,225,none,E02B 17/00; E02d 005/74; E02d 005/42; E02b 017/00,10,1,"Bassett, Max",Houston,TX,US,C. Nelson Shields,Houston,TX,US,2,2,2,0,0,0,0,8/15/71,8/15/71,No. 78-0065,0,0,1,1,207,304,2,INV,LA,WD,0,6/26/80,"Advance Engineering, Inc. (sub. of Baker International Corp.)",Halliburton Co.,"Halliburton Services, Brown & Root, Inc., and Brown & Root Marine Operators, Inc.",na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
6400,3833005,9/3/74,7/26/71,7/26/71,na,0,0,0,607,31,none,A61N 1/372; A61n 001/36,25,1,"Wingrove, Robert",Circle Pines,MN,US,Medtronic Inc,Minneapolis,MN,US,4,4,4,0,0,0,0,1/15/71,1/15/72,No. 3-80-617,0,0,1,1,217,885,3,INV,MN,na,1,1/20/83,"Medtronic, Inc., and Med-rel, Inc.","Cardiac Pacemakers, inc.",none,1,1,220,97,3,CAFC,11/23/83,1,affirmed,na,na,na,na,na,na
6401,3833948,9/10/74,3/1/73,3/1/73,na,0,0,0,5,247,5/255; 5/260; 5/719,A47C 23/04; A47C 23/00; A47C 23/32; A47c 023/02,18,3,"Surletta, Zygmunt M.",Detroit,MI,US,"Lear Siegler, Inc.",Detroit,MI,US,5,5,5,0,0,0,0,5/8/62,1/6/70,notcapt,0,0,0,nocite,nocite,nocite,2,V&I,MI,ED,1,8/21/87,Lear Siegler Inc.,Sealy Mattress Co. of Mich. Inc.,Hoover Universal Inc. and Hoover Groop Inc.,1,2,10,1767,2,CAFC,5/8/89,0,rev(NINF),na,na,na,na,na,na
6402,3834358,9/10/74,7/9/65,7/9/65,na,0,0,0,122,510,122/406.4,F22B 29/06; F22B 29/00; F22b 037/24,11,2,"Frendberg, Arthur",Akron,OH,US,Babcock and Wilcox Co,New York,NY,US,4,4,4,0,0,0,0,11/15/61,3/15/64,No. 76 Civ. 1224,1,1,1,1,210,232,2,NINF,NY,SD,0,4/8/81,Babcock and Wilcox Co.,Foster Wheeler Corp.,Foster Wheeler Energy Corp.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
6403,3835640,9/17/74,10/9/73,10/9/73,na,0,0,0,368,63,40/455; 434/304; 968/596; 987/364,G04C 21/28; G04C 21/00; G04c 021/28,5,1,"Hughes, Alexander",Oceanport,NJ,US,none,na,na,omitted,5,4,4,0,0,0,1,6/15/21,1/15/55,No. 77 Civ. 966,0,0,1,1,199,525,1,INV,NY,SD,0,9/20/78,Janex Corp.,Bradley Time,Elgin National Ind.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
6404,3837125,9/24/74,9/4/73,9/4/73,na,0,0,0,451,42,359/728; 359/900; 451/55,B24B 13/00; B24b 001/00; B24b 013/00,11,1,"Johnson, Thomas",Palos Verdes Estates,CA,US,Celestron Pacific ,Torrance,CA,US,7,5,5,0,0,0,2,10/15/65,7/15/71,Nos. 15872 and N-74-276,0,0,1,1,204,12,2,INV,CT,na,0,12/4/78,Celestron Pacific,"Criterion Mfg. Co., Inc.",Robert Goff,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
6405,3837292,9/24/74,4/15/71,2/28/69,na,0,1,0,105,198.3,267/127; 267/225; 267/4,B61F 5/02; B61F 5/12; B61f 005/12; F16f 009/06; F16f 009/32,10,1,"Wiebe, Donald",Sewickley,PA,US,none,na,na,omitted,9,9,9,0,0,0,0,11/15/37,8/15/64,No. 76-800,1,1,1,1,218,618,1,V&I,PA,ED,1,3/25/83,A. Stucki Co.,"Railroad Dynamics, Inc.",none,1,1,220,929,1,CAFC,1/25/84,1,affirmed,na,na,na,na,na,na
6406,3837292,9/24/74,4/15/71,2/28/68,na,0,1,0,105,198.3,267/127; 267/225; 267/4,B61F 5/02; B61F 5/12; B61f 005/12; F16f 009/06; F16f 009/32,10,1,"Wiebe, Donald",Sewickley,PA,US,none,na,na,omitted,9,9,9,0,0,0,0,11/16/37,8/18/64,notcapt,0,0,0,nocite,nocite,nocite,1,NINF,PA,ED,1,10/28/87,A. Stucki Co.,Worthington Ind. Inc.,none,1,2,7,1066,1,CAFC,6/8/88,1,affirmed,na,na,na,na,na,na
6407,3841718,10/15/74,10/25/72,2/17/71,na,0,1,0,305,103,277/380; 277/397; 277/402,B62D 55/08; B62D 55/088; F16J 15/34; F16j 015/38,19,1,"Reinsma, Harold",Dunlap,IL,US,Caterpillar Tractor Co,Peoria,IL,US,4,4,4,0,0,0,0,4/15/62,1/15/71,No. C80-0384-B,0,0,1,1,215,948,1,V&I,WY,na,1,9/30/82,Caterpillar Tractor Co.,"Berco, S.P.A.",Wortham Machinery Co.,1,1,219,185,1,CAFC,7/25/83,1,affirmed,na,na,na,na,na,na
6408,3842732,10/22/74,5/17/73,5/17/73,na,0,0,0,100,270,100/188R; 56/344,A01D 85/00; A01D 90/00; A01D 90/12; B30b 001/08,18,1,"Anderson, John",Canton,KS,US,Hesston Corp,Hesston,KS,US,8,8,8,0,0,0,0,5/15/21,1/15/71,No. C 299-73,1,1,1,1,196,238,8,INV,UT,na,0,5/4/77,Hesston Corp,Deere & Co.,none,1,1,201,444,8,10,3/9/79,1,affirmed,na,na,na,na,na,na
6409,3842785,10/22/74,8/30/73,8/30/73,na,0,0,0,440,12.64,305/120,B60F 3/00; B62D 55/00; B62D 55/06; E02F 9/06; E02F 9/00; E02F 9/02; B60f 003/00,7,1,"Rivet, Huey",Waggaman,LA,US,none,na,na,omitted,9,9,9,0,0,0,0,1/15/10,2/15/67,No. 79-3636,0,0,1,1,217,1302,1,V&I,LA,ED,0,12/11/81,Kori Corp. and Huey J. Rivet,"Wilco Marsh Buggies and Draglines, Inc.",individual defs.,1,1,219,286,1,5,6/27/83,1,affirmed,na,na,na,na,na,na
6410,3842841,10/22/74,10/29/71,10/29/71,na,0,0,0,607,52,602/2; 607/64; 607/75,A61B 17/58; A61N 1/375; A61N 1/372; A61N 1/20; G05F 3/08; G05F 3/24; A61n 001/20,13,3,"Brighton, Carl",Philadelphia,PA,US,US Secretary of the Navy,Washington,DC,US,5,5,5,0,0,0,0,4/15/65,5/15/71,No. 80-M-981 ,0,0,1,2,3,1571,1,NINF,CO,na,1,4/7/87,U.S. and Zimmer Inc.,Telectronics Inc.,BGS Medical Inc.,1,2,8,1217,1,CAFC,9/22/88,0,rev(V&I),na,na,na,na,na,na
6411,3842984,10/22/74,12/11/72,12/11/72,na,0,0,0,212,195,280/103,B60G 21/06; B60G 3/00; B60G 21/00; B66C 23/74; B66C 23/00; B66c 023/76,10,2,"Brown, Archer",Mendota Heights,MN,US,American Hoist and Derrick Co,St. Paul,MN,US,7,5,5,0,0,0,2,2/15/41,10/15/65,No. 72-C-474,0,0,1,1,197,677,3,NINF,WI,ED,0,2/27/78,American Hoist & Derrick Co.,The Manitowoc Co.,none,1,1,202,705,3,7,7/30/79,1,affirmed,na,na,na,na,na,na
6412,3843051,10/22/74,6/15/73,6/15/73,na,0,0,0,238,8,none,E01C 9/00; E01C 9/04; E01b 002/00,11,1,"Whitlock, Jacob Oscar",Springfield,IL,US,none,na,na,omitted,2,2,2,0,0,0,0,3/25/58,4/30/63,notcapt,0,0,0,nocite,nocite,nocite,2,INV,IL,ND,1,9/30/83,Structural Rubber Products Co.,Park Rubber Co.,"International Metals and Machines, Inc.",1,1,223,1264,2,CAFC,11/9/84,0,R&R,na,na,na,na,na,na
6413,3843859,10/22/74,7/26/73,2/27/72,na,0,1,0,219,740,none,F24C 15/02; F24C 15/04; H05B 6/76; H05b 009/06,3,2,"Klemp, Eldon J.",Mayer,MN,US,"Litton Systems, Inc.",Beverly Hills,CA,US,1,1,1,0,0,0,0,1/5/60,1/5/60,notcapt,0,0,0,nocite,nocite,nocite,2,V&I,MN,na,1,4/28/83,"Litton Systems, Inc.",Whirlpool Corp.,none,1,1,221,97,2,CAFC,2/14/84,0,rev(INV),na,na,na,na,na,na
6414,3844158,10/29/74,11/19/73,11/19/73,na,0,0,0,72,455,296/24.32; 296/37.6; 72/389.1,B21D 7/00; B60P 3/14; B21d 009/00,10,1,"Mercer, Floyd",Fresno,CA,US,none,na,na,omitted,8,6,6,0,0,0,2,12/15/44,10/15/57,No. CV 75-779,1,1,1,1,188,269,1,INV,CA,CD,0,9/8/75,Wholesale Brake Supply,American Machine & Hydraulics Inc.,none,1,1,200,262,1,9,11/2/78,1,affirmed,na,na,na,na,na,na
6415,3846347,11/5/74,9/21/70,12/30/58,na,0,1,0,521,159,521/155; 528/59; 528/67; 528/77,C08G 18/00; C08G 18/10; C08G 18/48; C08g 022/48,25,1,"Satterly, Kenneth P.",Kennett Square,PA,US,Witco Chemical Corporation,New York,NY,US,5,5,5,0,0,0,0,1/29/57,4/2/63,notcapt,0,0,0,nocite,nocite,nocite,2,V&I,GA,ND,1,12/10/84,Witco Chemical Corp.,Peachtree Doors Inc,Mobay Chemical Corp.,1,1,229,188,2,CAFC,3/24/86,0,~V&R,na,na,na,na,na,na
6416,3846880,11/12/74,10/31/73,10/9/70,na,0,0,1,29,36,29/39,B23B 3/00; B23Q 39/00; B23Q 39/02; B23B 3/16; B23b 007/04,8,2,"Foll, Gerhard",Esslingen-Simau,na,DE,Index-Werke KG Hahn and Tesky,Esslingen/NecKar,na,DE,2,1,1,0,0,0,1,11/15/63,9/15/72,No. 76-2101,1,1,1,1,205,990,2,V&I,DC,na,0,9/11/79,"Index-Werke KG, Hahn & Tessky",Colt Ind. Operating Corp.,none,0,F. 2d,670,1234,2,DC,9/30/81,0,rem,8/17/82,217-1176-2,INV,1/4/84,F 2d,affirmed
6417,3847072,11/12/74,4/18/73,4/14/69,na,0,1,1,100,35,100/100; 100/215; 100/218; 100/278,A01D 85/00; B30b 009/30,7,1,"Garrison, Harold",Newton,KS,US,Hesston Corp,Hesston,KS,US,7,5,5,0,0,0,2,12/15/1865,10/15/56,No. C 299-73,1,1,1,1,196,238,8,INV,UT,na,0,5/4/77,Hesston Corp,Deere & Co.,none,1,1,201,444,8,10,3/9/79,1,affirmed,na,na,na,na,na,na
6418,3847280,11/12/74,8/31/72,6/11/68,na,0,1,0,206,306,206/212; 374/E1.012; 383/210; 493/210,A61B 19/02; A61B 19/00; G01K 1/08; A61b 019/02,5,1,"Poncy, George",Chatham,NJ,US,Johnson and Johnson,New Brunswick,NJ,US,2,1,1,0,0,0,1,10/15/63,2/15/64,notcapt,0,0,1,1,205,932,2,V&I,na,ITC,0,7/25/79,Steridyne Corp.,Astra-Sjuco A.B.,Medline Ind.,1,1,207,1,2,CCPA,8/28/80,1,affirmed,na,na,na,na,na,na
6419,3847333,11/12/74,2/5/73,2/5/73,na,0,0,0,362,269,362/431,F21V 21/36; F21V 21/38; F21v 021/14,17,1,"Zeller, Robert Dale",Newark,OH,US,Johns-Manville Corp.,Greenwood Village,CO,US,4,4,4,0,0,0,0,2/15/33,1/15/72,No. 86-4157  ,0,0,1,2,14,1291,1,V&I,PA,ED,1,9/7/89,Manville Sales Corp.,Paramount Systems Inc.,Robert S. Butterworth and Anthony DiSimone,1,2,16,1587,1,CAFC,10/23/90,1,affirmed,na,na,na,na,na,na
